edges,distance,location_id,PV_NAAM,node_from,node_to,value
"(44447432, 44445872, 0)",0.0002595044014454755,PZH01_MST_0078_00,Zuid-Holland,44447432.0,44445872.0,1274.857142857143
"(44447432, 44445872, 0)",0.00025106169602769003,PZH01_MST_0078_01,Zuid-Holland,44447432.0,44445872.0,1189.2142857142858
"(44543769, 8765252631, 0)",0.004296430247812376,PZH01_MST_0083_00,Zuid-Holland,44543769.0,8765252631.0,1498.7857142857142
"(8765252631, 44543769, 0)",0.004296785017105412,PZH01_MST_0083_01,Zuid-Holland,8765252631.0,44543769.0,877.7142857142857
"(44806956, 380307306, 0)",0.00030133504288073506,PZH01_MST_0085_00,Zuid-Holland,44806956.0,380307306.0,585.6428571428571
"(380307306, 44806956, 0)",0.0003057609956493691,PZH01_MST_0085_01,Zuid-Holland,380307306.0,44806956.0,458.0
"(1428495908, 1323906612, 0)",0.00011650892033281071,PZH01_MST_0093_00,Zuid-Holland,1428495908.0,1323906612.0,4454.642857142857
"(1323867730, 1428495910, 0)",0.005198217974792947,PZH01_MST_0093_02,Zuid-Holland,1323867730.0,1428495910.0,0.0
"(44862952, 2191896013, 0)",0.0003816518665720809,PZH01_MST_0095_00,Zuid-Holland,44862952.0,2191896013.0,8158.214285714285
"(1247277187, 353961554, 0)",0.00034878788063216786,PZH01_MST_0096_00,Zuid-Holland,1247277187.0,353961554.0,7091.571428571428
"(1385070835, 3163747803, 0)",2.3610528141285838e-05,PZH01_MST_0102_00,Zuid-Holland,1385070835.0,3163747803.0,1358.0
"(1385070835, 3163747803, 0)",2.957956863532062e-05,PZH01_MST_0102_01,Zuid-Holland,1385070835.0,3163747803.0,1411.857142857143
"(44303755, 44294016, 0)",0.0005233737804875397,PZH01_MST_0109_00,Zuid-Holland,44303755.0,44294016.0,1500.7857142857142
"(44303755, 44294016, 0)",0.0005141197209989916,PZH01_MST_0109_01,Zuid-Holland,44303755.0,44294016.0,1092.9285714285713
"(43570278, 2109861775, 0)",4.586857424645908e-06,PZH01_MST_0117_00,Zuid-Holland,43570278.0,2109861775.0,1296.2142857142858
"(2109861767, 2109861875, 0)",4.078383276445591e-05,PZH01_MST_0117_01,Zuid-Holland,2109861767.0,2109861875.0,1240.0714285714287
"(44056369, 2015293145, 0)",0.00039692348304571517,PZH01_MST_0120_00,Zuid-Holland,44056369.0,2015293145.0,1233.142857142857
"(2015293145, 44056369, 0)",0.00039469213730369785,PZH01_MST_0120_01,Zuid-Holland,2015293145.0,44056369.0,1049.7857142857142
"(3225437623, 4450813782, 0)",0.000392216265302612,PZH01_MST_0129_00,Zuid-Holland,3225437623.0,4450813782.0,0.0
